joka_url	joks_radits	updated_at	ikonas_url
https://api.chucknorris.io/jokes/qpz0nosttf2slw7l-nonaw	2020-01-05 13:42:19.576875	2020-01-05 13:42:19.576875	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/vvwoodhpr1-bbid5hbs9gw	2020-01-05 13:42:19.576875	2020-01-05 13:42:19.576875	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/y7_p2-52sc2t7ho1hjtwcq	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/mgdb9q1wqb6_gurzp_5bga	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/0gno3wclrfohs9a_mlx7rw	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/hvj9bov5qoscyakmzylsag	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/bwoz2uwsqnwmyawyxdvo1w	2020-01-05 13:42:18.823766	2020-01-05 13:42:18.823766	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/each6usssvavuwtvv3r95q	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/2wzginmks8azrbaxnamxdw	2020-01-05 13:42:18.823766	2020-01-05 13:42:18.823766	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/ae-78cogr-cb6x9hluwqtw	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/o8a2hwedsl229fyvwikkxq	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/hzuvgphrtdmmbjdpnaxskw	2020-01-05 13:42:19.104863	2020-01-05 13:42:19.104863	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/nmlts0sqrwifigqta-rv_g	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/zdj0bfkjsmup6pkb2rpmbw	2020-01-05 13:42:18.823766	2020-01-05 13:42:18.823766	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/yrvjrpx3t4qxqmowpyvxbq	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/c4dlzikztk-vqqvhbzdqyg	2020-01-05 13:42:19.104863	2020-01-05 13:42:19.104863	https://api.chucknorris.io/img/avatar/chuck-norris.png
